LocationID,Borough,Zone,service_zone,latitude,longitude,Lat_Long,latitude_dbl,longitude_dbl
96,Queens,Forest Park/Highland Park,Boro Zone,40.697000613100926,-73.87155842518146,40.697000613100926 -73.87155842518146,40.697000613100926,-73.87155842518146
97,Brooklyn,Fort Greene,Boro Zone,40.69078679421068,-73.97488208618893,40.69078679421068 -73.97488208618893,40.69078679421068,-73.97488208618893
98,Queens,Fresh Meadows,Boro Zone,40.73446262820073,-73.77725346665986,40.73446262820073 -73.77725346665986,40.73446262820073,-73.77725346665986
99,Staten Island,Freshkills Park,Boro Zone,40.576773635486845,-74.18641851305911,40.576773635486845 -74.18641851305911,40.576773635486845,-74.18641851305911
100,Manhattan,Garment District,Yellow Zone,40.75351275872555,-73.98878659911529,40.75351275872555 -73.98878659911529,40.75351275872555,-73.98878659911529
101,Queens,Glen Oaks,Boro Zone,40.74599381838399,-73.71102598691229,40.74599381838399 -73.71102598691229,40.74599381838399,-73.71102598691229
102,Queens,Glendale,Boro Zone,40.70354561076272,-73.87573576709777,40.70354561076272 -73.87573576709777,40.70354561076272,-73.87573576709777
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,40.689860103659996,-74.04528829364004,40.689860103659996 -74.04528829364004,40.689860103659996,-74.04528829364004
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,40.69876867362594,-74.04077076873651,40.69876867362594 -74.04077076873651,40.69876867362594,-74.04077076873651
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,40.68878423861278,-74.01907272636822,40.68878423861278 -74.01907272636822,40.68878423861278,-74.01907272636822
106,Brooklyn,Gowanus,Boro Zone,40.67351279686057,-73.99064727363117,40.67351279686057 -73.99064727363117,40.67351279686057,-73.99064727363117
107,Manhattan,Gramercy,Yellow Zone,40.73682405761877,-73.98405213268907,40.73682405761877 -73.98405213268907,40.73682405761877,-73.98405213268907
108,Brooklyn,Gravesend,Boro Zone,40.58840346529011,-73.98143115020042,40.58840346529011 -73.98143115020042,40.58840346529011,-73.98143115020042
109,Staten Island,Great Kills,Boro Zone,40.551862998076885,-74.15088980760541,40.551862998076885 -74.15088980760541,40.551862998076885,-74.15088980760541
110,Staten Island,Great Kills Park,Boro Zone,40.545780316595426,-74.12834244237264,40.545780316595426 -74.12834244237264,40.545780316595426,-74.12834244237264
